               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.032161,            0.013575,                   0,             0.88465,                   1,              0.9907,             0.49817,            0.037096,           0.0099919,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.033657,            0.014244,                   0,             0.95892,                   1,             0.99394,             0.63012,            0.029634,           0.0098315,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030555,            0.014014,                   0,             0.72229,                   1,             0.87379,             0.56578,            0.032374,           0.0098431,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030931,            0.013563,                   0,             0.94834,                   1,             0.98826,             0.59391,            0.032527,           0.0096086,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02837,             0.01266,                   0,             0.99901,                   1,               0.995,             0.77756,            0.023106,           0.0091569,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030609,            0.013266,                   0,             0.85283,               0.997,             0.98507,             0.67091,            0.034698,           0.0098257,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027986,            0.014281,                   0,             0.58474,             0.95699,             0.88995,             0.69501,             0.03511,           0.0094974,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029152,            0.014575,                   0,             0.99896,                   1,               0.995,             0.74721,            0.026105,           0.0093508,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027894,             0.01359,                   0,             0.99878,                   1,               0.995,             0.75867,             0.02457,           0.0091424,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025151,            0.012696,                   0,             0.99913,                   1,               0.995,             0.75724,            0.032657,           0.0088962,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028623,            0.012627,                   0,             0.99912,                   1,               0.995,             0.61345,            0.026426,           0.0089735,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026538,            0.013052,                   0,             0.98791,                   1,               0.995,             0.75181,            0.025949,           0.0094413,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025176,            0.013492,                   0,             0.64334,                   1,               0.973,             0.53723,            0.029637,           0.0094255,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027256,            0.012218,                   0,             0.99924,                   1,               0.995,             0.79638,            0.026728,           0.0090717,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025609,            0.012049,                   0,             0.99926,                   1,               0.995,             0.75712,             0.02225,           0.0088869,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024748,            0.013113,                   0,             0.99923,                   1,               0.995,             0.59316,            0.031498,           0.0093929,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025486,            0.012463,                   0,             0.82797,             0.97849,             0.98708,             0.62797,            0.031608,           0.0099182,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028241,            0.012749,                   0,             0.99916,                   1,               0.995,              0.6933,            0.022711,           0.0087512,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023653,            0.012191,                   0,             0.99913,                   1,               0.995,             0.74902,            0.027245,           0.0091612,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023157,            0.012286,                   0,             0.99918,                   1,               0.995,             0.67696,            0.029699,            0.009329,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024245,            0.012043,                   0,             0.99911,                   1,               0.995,             0.81627,            0.020026,           0.0084865,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024284,            0.012736,                   0,             0.99918,                   1,               0.995,             0.75379,            0.025326,           0.0088104,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021447,            0.012125,                   0,             0.99821,                   1,               0.995,             0.67426,            0.029186,           0.0083965,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021641,            0.010445,                   0,             0.99926,                   1,               0.995,              0.7045,            0.024308,           0.0087101,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02458,            0.013546,                   0,             0.99929,                   1,               0.995,             0.82788,            0.020653,           0.0086519,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.020726,            0.012117,                   0,             0.99928,                   1,               0.995,             0.60485,            0.026544,           0.0090209,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02312,            0.011406,                   0,             0.99929,                   1,               0.995,             0.69952,            0.026105,           0.0089326,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022959,            0.011724,                   0,             0.99926,                   1,               0.995,             0.82817,            0.018691,           0.0081049,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020599,            0.011631,                   0,             0.99927,                   1,               0.995,             0.68153,            0.026295,            0.009034,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023016,            0.011133,                   0,             0.99923,                   1,               0.995,             0.75674,            0.022679,           0.0084229,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.020899,            0.011983,                   0,             0.99916,                   1,               0.995,             0.81287,             0.01856,           0.0079311,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020808,            0.011348,                   0,             0.99922,                   1,               0.995,             0.66993,            0.024704,           0.0086558,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.019076,            0.011861,                   0,             0.99927,                   1,               0.995,             0.78418,            0.023466,           0.0083299,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022144,            0.011181,                   0,             0.99922,                   1,               0.995,             0.82787,            0.019626,           0.0079008,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019378,            0.011266,                   0,             0.99925,                   1,               0.995,             0.80298,            0.021487,           0.0080942,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018547,             0.01065,                   0,             0.99925,                   1,               0.995,             0.81371,             0.02201,           0.0080048,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019392,            0.011073,                   0,             0.99926,                   1,               0.995,               0.838,            0.017659,           0.0078665,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018338,            0.010685,                   0,             0.99929,                   1,               0.995,             0.78759,            0.021244,           0.0083745,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018266,            0.010973,                   0,             0.99929,                   1,               0.995,             0.82378,            0.020324,           0.0081372,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02051,            0.011513,                   0,             0.99931,                   1,               0.995,             0.83454,            0.017988,           0.0078745,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018404,            0.010267,                   0,             0.99929,                   1,               0.995,             0.80516,            0.018381,           0.0078517,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01778,            0.011041,                   0,             0.99931,                   1,               0.995,             0.83836,            0.019052,           0.0079567,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016696,                0.01,                   0,             0.99932,                   1,               0.995,              0.7791,            0.020624,           0.0083266,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018345,            0.011258,                   0,             0.99933,                   1,               0.995,             0.83918,            0.016615,           0.0078331,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017022,           0.0099483,                   0,             0.99933,                   1,               0.995,             0.82441,            0.018657,           0.0080576,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016323,            0.011138,                   0,             0.99932,                   1,               0.995,             0.83715,            0.019106,            0.007844,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017386,           0.0092523,                   0,             0.99931,                   1,               0.995,             0.84922,              0.0163,           0.0076052,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016019,           0.0099907,                   0,             0.99932,                   1,               0.995,             0.84555,            0.017318,           0.0077389,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016397,           0.0093042,                   0,             0.99933,                   1,               0.995,             0.82944,            0.017265,           0.0077473,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.016742,            0.010645,                   0,             0.99933,                   1,               0.995,             0.84402,            0.016527,           0.0076113,                   0,            0.001387,            0.001387,            0.001387
